model,strategy,n_attrs_removed,disease,dimension,overall_auroc,auroc_gap,auroc_Female,auroc_Male,auroc_<50,auroc_50-70,auroc_70+
XRV-DenseNet-nih,baseline,0,Atelectasis,Age,0.659998,0.174909,,,0.774871,0.646500,0.599962
XRV-DenseNet-nih,baseline,0,Cardiomegaly,Gender,0.804893,0.006585,0.808744,0.802160,,,
XRV-DenseNet-nih,baseline,0,Cardiomegaly,Age,0.804893,0.062384,,,0.826658,0.805892,0.764273
XRV-DenseNet-nih,baseline,0,Consolidation,Gender,0.791057,0.031380,0.805756,0.774376,,,
XRV-DenseNet-nih,baseline,0,Consolidation,Age,0.791057,0.031355,,,0.784982,0.802799,0.771445
XRV-DenseNet-nih,baseline,0,Edema,Gender,0.830900,0.002856,0.832157,0.829301,,,
XRV-DenseNet-nih,baseline,0,Edema,Age,0.830900,0.056754,,,0.865168,0.832372,0.808414
XRV-DenseNet-nih,baseline,0,Enlarged Cardiomediastinum,Gender,0.767205,0.015488,0.776793,0.761306,,,
XRV-DenseNet-nih,baseline,0,Enlarged Cardiomediastinum,Age,0.767205,0.067061,,,0.726753,0.793814,0.728146
XRV-DenseNet-nih,baseline,0,Lung Opacity,Gender,0.667383,0.040851,0.690460,0.649608,,,
XRV-DenseNet-nih,baseline,0,Lung Opacity,Age,0.667383,0.078573,,,0.696133,0.678175,0.617559
XRV-DenseNet-nih,baseline,0,Pleural Effusion,Gender,0.794450,0.015130,0.802907,0.787777,,,
XRV-DenseNet-nih,baseline,0,Pleural Effusion,Age,0.794450,0.064874,,,0.821771,0.785861,0.756897
XRV-DenseNet-nih,baseline,0,Pneumonia,Gender,0.703264,0.012771,0.696389,0.709160,,,
XRV-DenseNet-nih,baseline,0,Pneumonia,Age,0.703264,0.031569,,,0.687780,0.717871,0.686302
XRV-DenseNet-nih,baseline,0,Pneumothorax,Gender,0.630243,0.038588,0.653778,0.615190,,,
XRV-DenseNet-nih,baseline,0,Pneumothorax,Age,0.630243,0.034212,,,0.652098,0.622553,0.617886
XRV-DenseNet-nih,baseline,0,Support Devices,Gender,0.679896,0.016596,0.670527,0.687123,,,
XRV-DenseNet-nih,baseline,0,Support Devices,Age,0.679896,0.109548,,,0.739000,0.676758,0.629453
XRV-DenseNet-nih,top3,3,Atelectasis,Gender,0.638053,0.042519,0.615934,0.658453,,,
XRV-DenseNet-nih,top3,3,Atelectasis,Age,0.638053,0.180687,,,0.765162,0.628968,0.584475
XRV-DenseNet-nih,top3,3,Cardiomegaly,Gender,0.731022,0.010004,0.725417,0.735421,,,
XRV-DenseNet-nih,top3,3,Cardiomegaly,Age,0.731022,0.065809,,,0.784281,0.745164,0.718473
XRV-DenseNet-nih,top3,3,Consolidation,Gender,0.778719,0.034430,0.794830,0.760400,,,
XRV-DenseNet-nih,top3,3,Consolidation,Age,0.778719,0.028099,,,0.782663,0.797312,0.769213
XRV-DenseNet-nih,top3,3,Edema,Gender,0.796401,0.009084,0.791140,0.800223,,,
XRV-DenseNet-nih,top3,3,Edema,Age,0.796401,0.056220,,,0.838068,0.809298,0.781848
XRV-DenseNet-nih,top3,3,Enlarged Cardiomediastinum,Gender,0.732292,0.020772,0.745206,0.724434,,,
XRV-DenseNet-nih,top3,3,Enlarged Cardiomediastinum,Age,0.732292,0.072288,,,0.713506,0.772295,0.700007
XRV-DenseNet-nih,top3,3,Lung Opacity,Gender,0.640426,0.020324,0.651543,0.631219,,,
XRV-DenseNet-nih,top3,3,Lung Opacity,Age,0.640426,0.071197,,,0.679384,0.665056,0.608187
XRV-DenseNet-nih,top3,3,Pleural Effusion,Gender,0.754432,0.007897,0.750155,0.758052,,,
XRV-DenseNet-nih,top3,3,Pleural Effusion,Age,0.754432,0.068933,,,0.803518,0.773844,0.734585
XRV-DenseNet-nih,top3,3,Pneumonia,Gender,0.694305,0.007944,0.689841,0.697786,,,
XRV-DenseNet-nih,top3,3,Pneumonia,Age,0.694305,0.029906,,,0.687524,0.710696,0.680790
XRV-DenseNet-nih,top3,3,Pneumothorax,Gender,0.622945,0.044548,0.649952,0.605404,,,
XRV-DenseNet-nih,top3,3,Pneumothorax,Age,0.622945,0.027968,,,0.642400,0.614433,0.614457
XRV-DenseNet-nih,top3,3,Support Devices,Gender,0.669359,0.014061,0.661612,0.675673,,,
XRV-DenseNet-nih,top3,3,Support Devices,Age,0.669359,0.116778,,,0.736917,0.668784,0.620140
XRV-DenseNet-nih,all_confounders,9,Atelectasis,Gender,0.635515,0.038584,0.615445,0.654030,,,
XRV-DenseNet-nih,all_confounders,9,Atelectasis,Age,0.635515,0.181998,,,0.765246,0.624210,0.583248
XRV-DenseNet-nih,all_confounders,9,Cardiomegaly,Gender,0.729223,0.010996,0.723146,0.734142,,,
XRV-DenseNet-nih,all_confounders,9,Cardiomegaly,Age,0.729223,0.059704,,,0.777153,0.741896,0.717450
XRV-DenseNet-nih,all_confounders,9,Consolidation,Gender,0.764988,0.038978,0.783375,0.744397,,,
XRV-DenseNet-nih,all_confounders,9,Consolidation,Age,0.764988,0.032485,,,0.771250,0.784486,0.752001
XRV-DenseNet-nih,all_confounders,9,Edema,Gender,0.794902,0.010727,0.788752,0.799479,,,
XRV-DenseNet-nih,all_confounders,9,Edema,Age,0.794902,0.053494,,,0.835616,0.803541,0.782122
XRV-DenseNet-nih,all_confounders,9,Enlarged Cardiomediastinum,Gender,0.730608,0.023368,0.744807,0.721440,,,
XRV-DenseNet-nih,all_confounders,9,Enlarged Cardiomediastinum,Age,0.730608,0.072285,,,0.707046,0.771990,0.699704
XRV-DenseNet-nih,all_confounders,9,Lung Opacity,Gender,0.642950,0.015382,0.651393,0.636011,,,
XRV-DenseNet-nih,all_confounders,9,Lung Opacity,Age,0.642950,0.056832,,,0.674302,0.664892,0.617470
XRV-DenseNet-nih,all_confounders,9,Pleural Effusion,Gender,0.747510,0.005031,0.744861,0.749891,,,
XRV-DenseNet-nih,all_confounders,9,Pleural Effusion,Age,0.747510,0.072143,,,0.795120,0.767671,0.722976
XRV-DenseNet-nih,all_confounders,9,Pneumonia,Gender,0.687763,0.013125,0.680489,0.693615,,,
XRV-DenseNet-nih,all_confounders,9,Pneumonia,Age,0.687763,0.031118,,,0.682214,0.703999,0.672881
XRV-DenseNet-nih,all_confounders,9,Pneumothorax,Gender,0.616228,0.047466,0.644838,0.597372,,,
XRV-DenseNet-nih,all_confounders,9,Pneumothorax,Age,0.616228,0.022539,,,0.628429,0.605890,0.615874
XRV-DenseNet-nih,all_confounders,9,Support Devices,Gender,0.659956,0.008391,0.655286,0.663677,,,
XRV-DenseNet-nih,all_confounders,9,Support Devices,Age,0.659956,0.111482,,,0.721419,0.662314,0.609937
CLIP-ViT-B16,baseline,0,Atelectasis,Gender,0.695069,0.054645,0.665872,0.720517,,,
CLIP-ViT-B16,baseline,0,Atelectasis,Age,0.695069,0.132549,,,0.791682,0.659133,0.677982
CLIP-ViT-B16,baseline,0,Cardiomegaly,Gender,0.782114,0.013939,0.789855,0.775916,,,
CLIP-ViT-B16,baseline,0,Cardiomegaly,Age,0.782114,0.052554,,,0.798709,0.775625,0.746155
CLIP-ViT-B16,baseline,0,Consolidation,Gender,0.845705,0.005032,0.847203,0.842170,,,
CLIP-ViT-B16,baseline,0,Consolidation,Age,0.845705,0.012290,,,0.840626,0.851040,0.838750
CLIP-ViT-B16,baseline,0,Edema,Gender,0.849966,0.015343,0.858005,0.842662,,,
CLIP-ViT-B16,baseline,0,Edema,Age,0.849966,0.038452,,,0.866029,0.856631,0.827577
CLIP-ViT-B16,baseline,0,Enlarged Cardiomediastinum,Gender,0.762605,0.023419,0.775613,0.752193,,,
CLIP-ViT-B16,baseline,0,Enlarged Cardiomediastinum,Age,0.762605,0.071898,,,0.732937,0.783158,0.711260
CLIP-ViT-B16,baseline,0,Lung Opacity,Gender,0.702691,0.033755,0.722085,0.688330,,,
CLIP-ViT-B16,baseline,0,Lung Opacity,Age,0.702691,0.047071,,,0.697318,0.718456,0.671385
CLIP-ViT-B16,baseline,0,Pleural Effusion,Gender,0.833583,0.016701,0.842727,0.826025,,,
CLIP-ViT-B16,baseline,0,Pleural Effusion,Age,0.833583,0.036856,,,0.844905,0.827076,0.808048
CLIP-ViT-B16,baseline,0,Pneumonia,Gender,0.717162,0.006461,0.713809,0.720270,,,
CLIP-ViT-B16,baseline,0,Pneumonia,Age,0.717162,0.008534,,,0.709954,0.718488,0.711339
CLIP-ViT-B16,baseline,0,Pneumothorax,Gender,0.672665,0.037597,0.695116,0.657519,,,
CLIP-ViT-B16,baseline,0,Pneumothorax,Age,0.672665,0.034761,,,0.701010,0.666249,0.666393
CLIP-ViT-B16,baseline,0,Support Devices,Gender,0.745818,0.007679,0.741519,0.749198,,,
CLIP-ViT-B16,baseline,0,Support Devices,Age,0.745818,0.083582,,,0.805853,0.722272,0.724976
CLIP-ViT-B16,top3,3,Atelectasis,Gender,0.674008,0.060704,0.641577,0.702281,,,
CLIP-ViT-B16,top3,3,Atelectasis,Age,0.674008,0.141071,,,0.777918,0.636847,0.670435
CLIP-ViT-B16,top3,3,Cardiomegaly,Gender,0.703833,0.009427,0.709481,0.700053,,,
CLIP-ViT-B16,top3,3,Cardiomegaly,Age,0.703833,0.048571,,,0.751411,0.708081,0.702840
CLIP-ViT-B16,top3,3,Consolidation,Gender,0.833594,0.010079,0.838231,0.828152,,,
CLIP-ViT-B16,top3,3,Consolidation,Age,0.833594,0.011863,,,0.833553,0.844657,0.832794
CLIP-ViT-B16,top3,3,Edema,Gender,0.812905,0.011795,0.819091,0.807296,,,
CLIP-ViT-B16,top3,3,Edema,Age,0.812905,0.031812,,,0.827606,0.833182,0.801370
CLIP-ViT-B16,top3,3,Enlarged Cardiomediastinum,Gender,0.724206,0.034047,0.743697,0.709649,,,
CLIP-ViT-B16,top3,3,Enlarged Cardiomediastinum,Age,0.724206,0.082520,,,0.718725,0.761127,0.678606
CLIP-ViT-B16,top3,3,Lung Opacity,Gender,0.680078,0.017695,0.690090,0.672395,,,
CLIP-ViT-B16,top3,3,Lung Opacity,Age,0.680078,0.050672,,,0.685297,0.710917,0.660245
CLIP-ViT-B16,top3,3,Pleural Effusion,Gender,0.799422,0.004028,0.801813,0.797785,,,
CLIP-ViT-B16,top3,3,Pleural Effusion,Age,0.799422,0.031273,,,0.823527,0.814971,0.792254
CLIP-ViT-B16,top3,3,Pneumonia,Gender,0.710765,0.003359,0.709024,0.712382,,,
CLIP-ViT-B16,top3,3,Pneumonia,Age,0.710765,0.006941,,,0.709571,0.714444,0.707503
CLIP-ViT-B16,top3,3,Pneumothorax,Gender,0.674451,0.040563,0.698642,0.658080,,,
CLIP-ViT-B16,top3,3,Pneumothorax,Age,0.674451,0.027072,,,0.693452,0.666912,0.666380
CLIP-ViT-B16,top3,3,Support Devices,Gender,0.737609,0.002200,0.739020,0.736820,,,
CLIP-ViT-B16,top3,3,Support Devices,Age,0.737609,0.083985,,,0.800881,0.716896,0.720128
CLIP-ViT-B16,all_confounders,9,Atelectasis,Gender,0.671999,0.054720,0.642412,0.697132,,,
CLIP-ViT-B16,all_confounders,9,Atelectasis,Age,0.671999,0.147651,,,0.779872,0.632222,0.670059
CLIP-ViT-B16,all_confounders,9,Cardiomegaly,Gender,0.701350,0.008914,0.707008,0.698093,,,
CLIP-ViT-B16,all_confounders,9,Cardiomegaly,Age,0.701350,0.042707,,,0.744606,0.704066,0.701899
CLIP-ViT-B16,all_confounders,9,Consolidation,Gender,0.819523,0.008197,0.822696,0.814499,,,
CLIP-ViT-B16,all_confounders,9,Consolidation,Age,0.819523,0.016157,,,0.814154,0.830311,0.819145
CLIP-ViT-B16,all_confounders,9,Edema,Gender,0.809565,0.011317,0.815510,0.804193,,,
CLIP-ViT-B16,all_confounders,9,Edema,Age,0.809565,0.028191,,,0.820493,0.827044,0.798853
CLIP-ViT-B16,all_confounders,9,Enlarged Cardiomediastinum,Gender,0.719618,0.038304,0.741658,0.703354,,,
CLIP-ViT-B16,all_confounders,9,Enlarged Cardiomediastinum,Age,0.719618,0.077221,,,0.713333,0.755106,0.677885
CLIP-ViT-B16,all_confounders,9,Lung Opacity,Gender,0.678425,0.007763,0.682856,0.675093,,,
CLIP-ViT-B16,all_confounders,9,Lung Opacity,Age,0.678425,0.040111,,,0.675261,0.705784,0.665673
CLIP-ViT-B16,all_confounders,9,Pleural Effusion,Gender,0.792747,0.007085,0.796797,0.789712,,,
CLIP-ViT-B16,all_confounders,9,Pleural Effusion,Age,0.792747,0.029760,,,0.812802,0.807571,0.783042
CLIP-ViT-B16,all_confounders,9,Pneumonia,Gender,0.702442,0.005395,0.699515,0.704911,,,
CLIP-ViT-B16,all_confounders,9,Pneumonia,Age,0.702442,0.007983,,,0.701996,0.706147,0.698164
CLIP-ViT-B16,all_confounders,9,Pneumothorax,Gender,0.670944,0.038903,0.694034,0.655131,,,
CLIP-ViT-B16,all_confounders,9,Pneumothorax,Age,0.670944,0.029398,,,0.691706,0.662308,0.663651
CLIP-ViT-B16,all_confounders,9,Support Devices,Gender,0.730500,0.006493,0.734261,0.727769,,,
CLIP-ViT-B16,all_confounders,9,Support Devices,Age,0.730500,0.074493,,,0.786058,0.711564,0.713970
ConvNeXtV2-Base,baseline,0,Atelectasis,Gender,0.649827,0.005427,0.647455,0.652883,,,
ConvNeXtV2-Base,baseline,0,Atelectasis,Age,0.649827,0.141507,,,0.758311,0.622690,0.616805
ConvNeXtV2-Base,baseline,0,Cardiomegaly,Gender,0.816692,0.001414,0.817735,0.816321,,,
ConvNeXtV2-Base,baseline,0,Cardiomegaly,Age,0.816692,0.052754,,,0.829879,0.816245,0.777125
ConvNeXtV2-Base,baseline,0,Consolidation,Gender,0.866323,0.033808,0.883116,0.849308,,,
ConvNeXtV2-Base,baseline,0,Consolidation,Age,0.866323,0.011124,,,0.862829,0.869759,0.858635
ConvNeXtV2-Base,baseline,0,Edema,Gender,0.877315,0.002015,0.876202,0.878217,,,
ConvNeXtV2-Base,baseline,0,Edema,Age,0.877315,0.026575,,,0.886966,0.882263,0.860391
ConvNeXtV2-Base,baseline,0,Enlarged Cardiomediastinum,Gender,0.741445,0.011354,0.736590,0.747944,,,
ConvNeXtV2-Base,baseline,0,Enlarged Cardiomediastinum,Age,0.741445,0.067436,,,0.721568,0.754910,0.687474
ConvNeXtV2-Base,baseline,0,Lung Opacity,Gender,0.691929,0.015823,0.700976,0.685153,,,
ConvNeXtV2-Base,baseline,0,Lung Opacity,Age,0.691929,0.057696,,,0.713059,0.691346,0.655363
ConvNeXtV2-Base,baseline,0,Pleural Effusion,Gender,0.868205,0.018107,0.878118,0.860011,,,
ConvNeXtV2-Base,baseline,0,Pleural Effusion,Age,0.868205,0.028413,,,0.877869,0.859356,0.849456
ConvNeXtV2-Base,baseline,0,Pneumonia,Gender,0.738390,0.006647,0.734834,0.741481,,,
ConvNeXtV2-Base,baseline,0,Pneumonia,Age,0.738390,0.009458,,,0.734996,0.741001,0.731543
ConvNeXtV2-Base,baseline,0,Pneumothorax,Gender,0.695334,0.030041,0.712499,0.682458,,,
ConvNeXtV2-Base,baseline,0,Pneumothorax,Age,0.695334,0.034061,,,0.712637,0.678576,0.703181
ConvNeXtV2-Base,baseline,0,Support Devices,Gender,0.747330,0.025178,0.733661,0.758839,,,
ConvNeXtV2-Base,baseline,0,Support Devices,Age,0.747330,0.082470,,,0.788431,0.749926,0.705961
ConvNeXtV2-Base,top3,3,Atelectasis,Gender,0.637402,0.029117,0.622483,0.651600,,,
ConvNeXtV2-Base,top3,3,Atelectasis,Age,0.637402,0.139586,,,0.750284,0.610697,0.615963
ConvNeXtV2-Base,top3,3,Cardiomegaly,Gender,0.730151,0.008820,0.725909,0.734729,,,
ConvNeXtV2-Base,top3,3,Cardiomegaly,Age,0.730151,0.062736,,,0.782729,0.741403,0.719993
ConvNeXtV2-Base,top3,3,Consolidation,Gender,0.854678,0.030928,0.870295,0.839367,,,
ConvNeXtV2-Base,top3,3,Consolidation,Age,0.854678,0.009217,,,0.859748,0.863362,0.854145
ConvNeXtV2-Base,top3,3,Edema,Gender,0.842460,0.011790,0.836057,0.847847,,,
ConvNeXtV2-Base,top3,3,Edema,Age,0.842460,0.022724,,,0.848839,0.857501,0.834777
ConvNeXtV2-Base,top3,3,Enlarged Cardiomediastinum,Gender,0.708095,0.017099,0.699826,0.716926,,,
ConvNeXtV2-Base,top3,3,Enlarged Cardiomediastinum,Age,0.708095,0.075993,,,0.709492,0.737132,0.661139
ConvNeXtV2-Base,top3,3,Lung Opacity,Gender,0.672357,0.006505,0.676038,0.669533,,,
ConvNeXtV2-Base,top3,3,Lung Opacity,Age,0.672357,0.055004,,,0.703945,0.686732,0.648941
ConvNeXtV2-Base,top3,3,Pleural Effusion,Gender,0.839398,0.006967,0.843359,0.836392,,,
ConvNeXtV2-Base,top3,3,Pleural Effusion,Age,0.839398,0.022980,,,0.858529,0.849807,0.835548
ConvNeXtV2-Base,top3,3,Pneumonia,Gender,0.732921,0.003914,0.730773,0.734686,,,
ConvNeXtV2-Base,top3,3,Pneumonia,Age,0.732921,0.008951,,,0.732886,0.737663,0.728712
ConvNeXtV2-Base,top3,3,Pneumothorax,Gender,0.696289,0.034651,0.716297,0.681647,,,
ConvNeXtV2-Base,top3,3,Pneumothorax,Age,0.696289,0.035846,,,0.711996,0.676150,0.701690
ConvNeXtV2-Base,top3,3,Support Devices,Gender,0.739962,0.021949,0.728352,0.750301,,,
ConvNeXtV2-Base,top3,3,Support Devices,Age,0.739962,0.084690,,,0.784654,0.746707,0.699964
ConvNeXtV2-Base,all_confounders,9,Atelectasis,Gender,0.630611,0.020286,0.620402,0.640688,,,
ConvNeXtV2-Base,all_confounders,9,Atelectasis,Age,0.630611,0.146588,,,0.746690,0.600102,0.613018
ConvNeXtV2-Base,all_confounders,9,Cardiomegaly,Gender,0.727484,0.008560,0.723600,0.732159,,,
ConvNeXtV2-Base,all_confounders,9,Cardiomegaly,Age,0.727484,0.058074,,,0.776382,0.737307,0.718307
ConvNeXtV2-Base,all_confounders,9,Consolidation,Gender,0.841080,0.033981,0.858097,0.824116,,,
ConvNeXtV2-Base,all_confounders,9,Consolidation,Age,0.841080,0.010238,,,0.847642,0.849232,0.838994
ConvNeXtV2-Base,all_confounders,9,Edema,Gender,0.839331,0.013805,0.831850,0.845655,,,
ConvNeXtV2-Base,all_confounders,9,Edema,Age,0.839331,0.017713,,,0.841284,0.851295,0.833582
ConvNeXtV2-Base,all_confounders,9,Enlarged Cardiomediastinum,Gender,0.702820,0.016110,0.695308,0.711418,,,
ConvNeXtV2-Base,all_confounders,9,Enlarged Cardiomediastinum,Age,0.702820,0.072173,,,0.702033,0.730729,0.658556
ConvNeXtV2-Base,all_confounders,9,Lung Opacity,Gender,0.669300,0.003691,0.667199,0.670890,,,
ConvNeXtV2-Base,all_confounders,9,Lung Opacity,Age,0.669300,0.040197,,,0.692663,0.681205,0.652467
ConvNeXtV2-Base,all_confounders,9,Pleural Effusion,Gender,0.833124,0.010957,0.839313,0.828355,,,
ConvNeXtV2-Base,all_confounders,9,Pleural Effusion,Age,0.833124,0.020998,,,0.848792,0.842504,0.827794
ConvNeXtV2-Base,all_confounders,9,Pneumonia,Gender,0.724717,0.006495,0.721051,0.727546,,,
ConvNeXtV2-Base,all_confounders,9,Pneumonia,Age,0.724717,0.008852,,,0.724009,0.729275,0.720423
ConvNeXtV2-Base,all_confounders,9,Pneumothorax,Gender,0.693804,0.032074,0.712273,0.680198,,,
ConvNeXtV2-Base,all_confounders,9,Pneumothorax,Age,0.693804,0.038622,,,0.709780,0.671158,0.702204
ConvNeXtV2-Base,all_confounders,9,Support Devices,Gender,0.733447,0.021395,0.721998,0.743393,,,
ConvNeXtV2-Base,all_confounders,9,Support Devices,Age,0.733447,0.077690,,,0.770765,0.742780,0.693074
