model,dimension,disease,auroc_gap,auroc_gap_ci_lo,auroc_gap_ci_hi,gap_p_value,n_subgroups_valid,eq_odds_diff,tpr_gap,fpr_gap,threshold,gap_p_adjusted,gap_significant
ResNet50-ImageNet,Gender,Cardiomegaly,0.016668054686801548,0.0008984620839368546,0.03607504504560424,0.116,2,0.06054676902104217,0.03760177234823514,0.022944996672807028,0.5,0.2396065573770492,False
ResNet50-ImageNet,Gender,Consolidation,0.007885126777713247,0.0007287770122661729,0.0363970674611687,0.548,2,0.04841096071037612,0.005502080513360319,0.0429088801970158,0.45000000000000007,0.7131340206185568,False
ResNet50-ImageNet,Gender,Edema,0.011732072831236784,0.000820582269917189,0.025438726326935612,0.122,2,0.054466745830591856,0.03567036201766738,0.018796383812924478,0.55,0.24793548387096773,False
ResNet50-ImageNet,Gender,Enlarged Cardiomediastinum,0.019449426889494914,0.0011492414473260619,0.059487152827336076,0.35,2,0.029210789062359743,0.0027999672996519287,0.026410821762707815,0.45000000000000007,0.5313253012048192,False
ResNet50-ImageNet,Gender,Pleural Effusion,0.02573928280280524,0.012381019605188746,0.038709656104386134,0.0,2,0.06976295841471405,0.06025048370918262,0.009512474705531432,0.55,0.0,True
ResNet50-ImageNet,Gender,Pneumonia,0.013938037158623628,0.0005978448816912091,0.038806081453642345,0.253,2,0.03912656688188426,0.02652075164449008,0.01260581523739418,0.5,0.4194473684210526,False
ResNet50-ImageNet,Gender,Pneumothorax,0.05799700602848479,0.02921642006012465,0.08566384309433352,0.0,2,0.06495626861195786,0.02774283496253105,0.03721343364942681,0.5,0.0,True
ResNet50-ImageNet,Age,Cardiomegaly,0.06359017726446436,0.035265825648878375,0.09367216412674632,0.0,3,0.43115288291658066,0.1560605663262884,0.27509231659029226,0.5,0.0,True
ResNet50-ImageNet,Age,Consolidation,0.006971976018980919,0.0034067786066806923,0.04617610893995072,0.903,3,0.23574326466457796,0.1226896516109649,0.11305361305361306,0.45000000000000007,0.9465365853658537,False
ResNet50-ImageNet,Age,Edema,0.029199900696507464,0.015217102905405764,0.05008910647606676,0.02,3,0.18155620967387423,0.0728924084296475,0.10866380124422673,0.55,0.06461538461538462,False
ResNet50-ImageNet,Age,Enlarged Cardiomediastinum,0.09876791275741015,0.05572647952094498,0.15012812295484973,0.0,3,0.562337813890702,0.23393753200204814,0.32840028188865394,0.45000000000000007,0.0,True
ResNet50-ImageNet,Age,Pleural Effusion,0.026797108367722422,0.010804160613173701,0.04648557152399908,0.012,3,0.34578887758597554,0.15951205548788205,0.18627682209809346,0.55,0.042,True
ResNet50-ImageNet,Age,Pneumonia,0.026427193680170546,0.0068995072521108244,0.06066244584376041,0.235,3,0.47742238090469025,0.2396643507278875,0.23775803017680275,0.5,0.4056164383561644,False
ResNet50-ImageNet,Age,Pneumothorax,0.01582304711345006,0.005222482944558996,0.05599545381750674,0.668,3,0.1766844851996206,0.10001799861153571,0.07666648658808489,0.5,0.8016000000000001,False
ResNet50-ImageNet,BMI,Cardiomegaly,0.009095474964670891,0.003046498842214127,0.041827062291629385,0.778,3,0.23183237847467697,0.10852059070162356,0.1233117877730534,0.45000000000000007,0.8697345132743363,False
ResNet50-ImageNet,BMI,Consolidation,0.012017347785416188,0.005057394691034576,0.058070264157017944,0.791,3,0.13112174278271085,0.05391596851992897,0.07720577426278188,0.45000000000000007,0.8710434782608696,False
ResNet50-ImageNet,BMI,Edema,0.014876112195132518,0.004282890599470311,0.03682092786796881,0.317,3,0.1297680780947939,0.07602972435644018,0.05373835373835373,0.55,0.4931111111111111,False
ResNet50-ImageNet,BMI,Enlarged Cardiomediastinum,0.017096159993052806,0.005457584342754793,0.08404706701859398,0.809,3,0.2877324489983352,0.1360509115927072,0.151681537405628,0.45000000000000007,0.8787413793103449,False
ResNet50-ImageNet,BMI,Pleural Effusion,0.031807341586442606,0.019320179870506597,0.0512993801709386,0.003,3,0.09061028412639721,0.07679003804911788,0.01382024607727933,0.55,0.01575,True
ResNet50-ImageNet,BMI,Pneumonia,0.03346560337698823,0.008798459092802762,0.0700889414031093,0.139,3,0.17264964203591512,0.09145590169666495,0.08119374033925017,0.5,0.27365625000000005,False
ResNet50-ImageNet,BMI,Pneumothorax,0.08412042311255097,0.047276051448766045,0.12725274629707034,0.0,3,0.752055557248249,0.4477247924080664,0.3043307648401826,0.5,0.0,True
DINOv2-base,Gender,Cardiomegaly,0.006239322070333619,0.00046051333721337,0.024874151619528436,0.527,2,0.08205387378343576,0.044070742360284854,0.037983131423150907,0.55,0.7131340206185568,False
DINOv2-base,Gender,Consolidation,0.017742755360471874,0.0010831972042867988,0.042318594616693885,0.167,2,0.05289438132302235,0.007160642368944425,0.045733738954077924,0.5,0.31881818181818183,False
DINOv2-base,Gender,Edema,0.002227147619478287,0.0003055569124942398,0.016606069958632782,0.747,2,0.022718754250433237,0.013591863891264988,0.00912689035916825,0.55,0.847945945945946,False
DINOv2-base,Gender,Enlarged Cardiomediastinum,0.014867016471337147,0.0006986746017017056,0.05325569665261752,0.444,2,0.03291171529741399,0.001477355008992598,0.03143436028842139,0.5,0.6357272727272728,False
DINOv2-base,Gender,Pleural Effusion,0.02125187338195056,0.009782224609430647,0.03336043741684343,0.0,2,0.047149074482275344,0.04674602004117101,0.00040305444110433353,0.5,0.0,True
DINOv2-base,Gender,Pneumonia,0.008578309322276656,0.0005234698624913443,0.035412585469078564,0.479,2,0.08044072363195665,0.04080424674851624,0.03963647688344041,0.5,0.6632307692307692,False
DINOv2-base,Gender,Pneumothorax,0.03404637143728595,0.0061597673182063085,0.06223437955075103,0.02,2,0.06713050196964965,0.03741504142968044,0.029715460539969207,0.45000000000000007,0.06461538461538462,False
DINOv2-base,Age,Cardiomegaly,0.05642821469954873,0.030853945459873907,0.08273919689816071,0.0,3,0.36535593375995645,0.16152757588301558,0.20382835787694087,0.55,0.0,True
DINOv2-base,Age,Consolidation,0.006356051932353113,0.0036031910502941802,0.043141023383267876,0.918,3,0.20942189415352525,0.09054077527240634,0.1188811188811189,0.5,0.9465365853658537,False
DINOv2-base,Age,Edema,0.03139873583374864,0.015849651695161743,0.05100916332569785,0.008,3,0.14645515978821505,0.044910082801449036,0.10154507698676601,0.55,0.030545454545454546,True
DINOv2-base,Age,Enlarged Cardiomediastinum,0.09025038943718611,0.05025041017956767,0.1412811193585085,0.001,3,0.5199062103188136,0.19937532002048142,0.32053089029833215,0.5,0.0063,True
DINOv2-base,Age,Pleural Effusion,0.019641863971556983,0.008215093361642488,0.037481112322466106,0.058,3,0.31202728729657947,0.12224874665373042,0.18977854064284905,0.5,0.15548936170212768,False
DINOv2-base,Age,Pneumonia,0.01659446804354181,0.005065774325064491,0.05234851641755638,0.549,3,0.37925935015255113,0.20620977638095572,0.1730495737715954,0.5,0.7131340206185568,False
DINOv2-base,Age,Pneumothorax,0.029283462615023792,0.0064881442829955865,0.0659391223861459,0.249,3,0.15959789679574504,0.08477060341059406,0.07482729338515098,0.45000000000000007,0.41831999999999997,False
DINOv2-base,BMI,Cardiomegaly,0.017213633496858116,0.004200651852858399,0.04780861958452017,0.42,3,0.2297843072236294,0.09975462646654765,0.13002968075708177,0.45000000000000007,0.6225882352941176,False
DINOv2-base,BMI,Consolidation,0.016932809421635775,0.005248958785065901,0.0604048334711116,0.618,3,0.12322931865855627,0.05585857986996301,0.06737073878859326,0.5,0.7709702970297029,False
DINOv2-base,BMI,Edema,0.005941703528979714,0.002520173423655137,0.027604418824469748,0.795,3,0.040567283306374546,0.027865151801623744,0.012702131504750802,0.55,0.8710434782608696,False
DINOv2-base,BMI,Enlarged Cardiomediastinum,0.021628325257543657,0.007512832202425544,0.07914801803808626,0.692,3,0.27923713715508985,0.14981080151358783,0.12942633564150202,0.5,0.8073333333333332,False
DINOv2-base,BMI,Pleural Effusion,0.01919965281247582,0.006160050498604869,0.03624012141204699,0.044,3,0.07849197035491859,0.05061026832040327,0.027881702034515315,0.5,0.12319999999999999,False
DINOv2-base,BMI,Pneumonia,0.03889858350939113,0.012556429193784958,0.07600566395594854,0.069,3,0.19291765550937467,0.12371695885184852,0.06920069665752615,0.5,0.17203846153846153,False
DINOv2-base,BMI,Pneumothorax,0.07184349481973451,0.03526450484634869,0.11538585328189968,0.0,3,0.6761392316351458,0.3831696322657177,0.2929695993694281,0.45000000000000007,0.0,True
XRV-DenseNet-nih,Gender,Cardiomegaly,0.01589127588651318,0.0011802891675285992,0.03448743384299406,0.105,2,0.019462466015670365,0.0075908341101250665,0.011871631905545299,0.5,0.22049999999999997,False
XRV-DenseNet-nih,Gender,Consolidation,0.007329094101881095,0.0005592843825321914,0.040726834366314295,0.639,2,0.04757794487421224,0.023457997025450816,0.024119947848761425,0.5,0.7878058252427185,False
XRV-DenseNet-nih,Gender,Edema,0.0010396682829816317,0.0002956919262075422,0.020154429448666872,0.912,2,0.019429154590542563,0.008143885389394367,0.011285269201148196,0.5,0.9465365853658537,False
XRV-DenseNet-nih,Gender,Enlarged Cardiomediastinum,0.00961474121455752,0.0008131294974715468,0.04908007771349966,0.604,2,0.12933655395168464,0.05913215612080447,0.07020439783088017,0.45000000000000007,0.7610399999999999,False
XRV-DenseNet-nih,Gender,Pleural Effusion,0.012630468965781239,0.001243044963003704,0.026251761922048842,0.102,2,0.04036161966485738,0.01864541677885112,0.02171620288600626,0.55,0.21783050847457625,False
XRV-DenseNet-nih,Gender,Pneumonia,0.016771194906711973,0.0008376644093944846,0.0420817513683161,0.204,2,0.0705554741728428,0.041588995307578536,0.028966478865264267,0.5,0.36202816901408447,False
XRV-DenseNet-nih,Gender,Pneumothorax,0.023786981940035368,0.0014522808098293323,0.05515018793630074,0.127,2,0.05951661454255297,0.04409924111598729,0.015417373426565684,0.5,0.254,False
XRV-DenseNet-nih,Age,Cardiomegaly,0.06926792550069427,0.04222361609759279,0.09519487592778919,0.0,3,0.2571991988741773,0.06136568016616473,0.1958335187080126,0.5,0.0,True
XRV-DenseNet-nih,Age,Consolidation,0.028941787867246882,0.009024086242135024,0.06874530327485155,0.321,3,0.2119310628951066,0.09538094634499006,0.11655011655011654,0.5,0.4932439024390244,False
XRV-DenseNet-nih,Age,Edema,0.05943065906146483,0.03497328406859347,0.08338581585170853,0.0,3,0.15772037191103988,0.02636975065616798,0.1313506212548719,0.5,0.0,True
XRV-DenseNet-nih,Age,Enlarged Cardiomediastinum,0.08007648232404407,0.03732072024836554,0.12530862004927038,0.006,3,0.4461206860156598,0.19970302099334358,0.2464176650223162,0.45000000000000007,0.02438709677419355,True
XRV-DenseNet-nih,Age,Pleural Effusion,0.049715234024464205,0.02869636643717045,0.07311471764062595,0.001,3,0.2227297133843868,0.07473929862546569,0.1479904147589211,0.55,0.0063,True
XRV-DenseNet-nih,Age,Pneumonia,0.03583770237970607,0.014179573057083058,0.06559159059877923,0.077,3,0.4243268703387234,0.19611690341034493,0.2282099669283785,0.5,0.17775000000000002,False
XRV-DenseNet-nih,Age,Pneumothorax,0.05145735130337592,0.016807708569578316,0.09356299876073847,0.034,3,0.187328672608716,0.12340043842552428,0.06392823418319171,0.5,0.0996279069767442,False
XRV-DenseNet-nih,BMI,Cardiomegaly,0.022762029376924398,0.0060932177807318,0.04981107077625767,0.201,3,0.14227100848836188,0.08383105958756676,0.058439948900795124,0.45000000000000007,0.3618,False
XRV-DenseNet-nih,BMI,Consolidation,0.005531394939937262,0.004680018949308851,0.060454316338800135,0.966,3,0.1749556675161524,0.09952372482757255,0.07543194268857986,0.55,0.966,False
XRV-DenseNet-nih,BMI,Edema,0.027307440005945316,0.007451746185663988,0.0494510208862182,0.07,3,0.15625360720498152,0.08460503555640986,0.07164857164857166,0.5,0.17203846153846153,False
XRV-DenseNet-nih,BMI,Enlarged Cardiomediastinum,0.019971967883831376,0.007443213191288565,0.08185805413614014,0.738,3,0.21495023372688796,0.09975920192638466,0.1151910318005033,0.45000000000000007,0.847945945945946,False
XRV-DenseNet-nih,BMI,Pleural Effusion,0.021805017921461167,0.009120145697058355,0.044831999856290564,0.089,3,0.0829911325677451,0.053723377971043096,0.029267754596702,0.5,0.19334482758620689,False
XRV-DenseNet-nih,BMI,Pneumonia,0.02830822621112361,0.007828958052464242,0.06992647882567508,0.292,3,0.20430220161460072,0.10515487328549367,0.09914732832910705,0.5,0.4657215189873417,False
XRV-DenseNet-nih,BMI,Pneumothorax,0.07681467432737477,0.04059627603869237,0.12037133132371108,0.001,3,0.7843089774564175,0.46517200474495846,0.319136972711459,0.55,0.0063,True
BiomedCLIP,Gender,Cardiomegaly,0.009968450916062466,0.0004513200710627921,0.02793986885264094,0.288,2,0.0353620418882738,0.031946728506867306,0.003415313381406493,0.45000000000000007,0.46523076923076917,False
BiomedCLIP,Gender,Consolidation,0.015449919543054413,0.0008548947341129416,0.038413745961507546,0.191,2,0.0715213416379133,0.024281011346735548,0.047240330291177746,0.5,0.34878260869565214,False
BiomedCLIP,Gender,Edema,0.006559137094167555,0.00035295581711058125,0.02022667472638051,0.378,2,0.0048201994014410166,0.002340196950975426,0.0024800024504655904,0.5,0.567,False
BiomedCLIP,Gender,Enlarged Cardiomediastinum,0.010342359521036237,0.0008173444230110195,0.05037335931919109,0.573,2,0.05449176472953807,0.006896269824586021,0.047595494904952046,0.5,0.7292727272727272,False
BiomedCLIP,Gender,Pleural Effusion,0.014150457898642221,0.0022625071408399118,0.025638254940876768,0.019,2,0.07704124364974949,0.05600662678053214,0.021034616869217343,0.5,0.06461538461538462,False
BiomedCLIP,Gender,Pneumonia,0.00865945584320682,0.0005939685389544352,0.0329327023015693,0.461,2,0.045417642215066556,0.02412365280366824,0.021293989411398317,0.5,0.6454000000000001,False
BiomedCLIP,Gender,Pneumothorax,0.001351731639053777,0.0004928516696635079,0.03394796755869124,0.92,2,0.013618521350833579,0.0034379505378728803,0.010180570812960699,0.45000000000000007,0.9465365853658537,False
BiomedCLIP,Age,Cardiomegaly,0.04411143786619476,0.021507096162754778,0.0675794190088165,0.0,3,0.22532172483155255,0.07872075495123043,0.14660096988032212,0.45000000000000007,0.0,True
BiomedCLIP,Age,Consolidation,0.033860371716908144,0.014255219677596251,0.06036497029069689,0.061,3,0.1670200119913513,0.07028341525475457,0.09673659673659674,0.5,0.160125,False
BiomedCLIP,Age,Edema,0.04787588939150178,0.02970810312894178,0.06821768759750738,0.0,3,0.11868204974491489,0.022834432223486245,0.09584761752142865,0.5,0.0,True
BiomedCLIP,Age,Enlarged Cardiomediastinum,0.07690094745908693,0.03888928762295859,0.13105179263565836,0.003,3,0.3918383058968205,0.19839221710189447,0.19344608879492603,0.5,0.01575,True
BiomedCLIP,Age,Pleural Effusion,0.03374956204291524,0.018199947200541754,0.049526255964784535,0.001,3,0.20926160592328605,0.06735387436039653,0.14190773156288952,0.5,0.0063,True
BiomedCLIP,Age,Pneumonia,0.048384469441914435,0.022888778828582576,0.08230857591681066,0.006,3,0.2699946175995669,0.09712597000167744,0.17286864759788947,0.5,0.02438709677419355,True
BiomedCLIP,Age,Pneumothorax,0.050166223776849206,0.018170143592069605,0.08865241921313106,0.031,3,0.18012394401916126,0.09832578059559727,0.081798163423564,0.45000000000000007,0.09526829268292683,False
BiomedCLIP,BMI,Cardiomegaly,0.01243486120666959,0.003280747588599437,0.03987090910032219,0.548,3,0.11882859083021013,0.08192149096431378,0.03690709986589635,0.45000000000000007,0.7131340206185568,False
BiomedCLIP,BMI,Consolidation,0.020874925334822603,0.005429154173451272,0.057175461649266346,0.44,3,0.10152876190420915,0.06533467718029284,0.0361940847239163,0.5,0.6357272727272728,False
BiomedCLIP,BMI,Edema,0.0083849873914007,0.002804069960411626,0.030561067690206705,0.682,3,0.0720063347403109,0.04966091239488857,0.022345422345422333,0.45000000000000007,0.8073333333333332,False
BiomedCLIP,BMI,Enlarged Cardiomediastinum,0.020148373702051914,0.007077670791018769,0.08612586435581868,0.743,3,0.1738594524727418,0.0935239235643367,0.08033552890840509,0.5,0.847945945945946,False
BiomedCLIP,BMI,Pleural Effusion,0.017700550961101014,0.006353834809143287,0.034568209558622796,0.066,3,0.05084462111635826,0.04119187626624499,0.009652744850113276,0.45000000000000007,0.16971428571428573,False
BiomedCLIP,BMI,Pneumonia,0.053071228443243634,0.021792282658099692,0.0881017260507611,0.004,3,0.2228001072837214,0.14623262784994095,0.07656747943378045,0.5,0.018666666666666668,True
BiomedCLIP,BMI,Pneumothorax,0.0900420428852664,0.05178072806281512,0.1311676962740588,0.0,3,0.6350318585313817,0.3738742586002372,0.2611575999311444,0.5,0.0,True
CLIP-ViT-B16,Gender,Cardiomegaly,0.019597953822527603,0.0018674260814816328,0.04004956885730151,0.071,2,0.061721263788109826,0.052730391376727526,0.0089908724113823,0.55,0.17203846153846153,False
CLIP-ViT-B16,Gender,Consolidation,0.008579577652472636,0.00039590596000859286,0.0365012765712864,0.54,2,0.06586159755337745,0.013159873665212873,0.052701723888164576,0.5,0.7131340206185568,False
CLIP-ViT-B16,Gender,Edema,0.010673232556668522,0.0008385184897570295,0.026741221961301784,0.187,2,0.027943550973106218,0.009810105618488829,0.01813344535461739,0.55,0.34650000000000003,False
CLIP-ViT-B16,Gender,Enlarged Cardiomediastinum,0.0024819404639898623,0.0006831009072423878,0.049839794568662464,0.904,2,0.033635567100991304,0.020370565015299102,0.013265002085692201,0.5,0.9465365853658537,False
CLIP-ViT-B16,Gender,Pleural Effusion,0.013389435313760023,0.0008937436837056189,0.028030823522487258,0.079,2,0.04590838478865661,0.03416887590098938,0.011739508887667227,0.5,0.17775000000000002,False
CLIP-ViT-B16,Gender,Pneumonia,0.016042937670362134,0.0008559521735455296,0.0432697229959298,0.229,2,0.11506481215545755,0.06102826166141717,0.05403655049404038,0.5,0.40075000000000005,False
CLIP-ViT-B16,Gender,Pneumothorax,0.03489043115787871,0.0057996823999500145,0.06393372268947078,0.022,2,0.09039425227159836,0.07165988054310113,0.018734371728497234,0.5,0.0693,False
CLIP-ViT-B16,Age,Cardiomegaly,0.0475059494976563,0.02103154007356639,0.07552241247641892,0.002,3,0.23078538597709497,0.09386764784478197,0.136917738132313,0.55,0.011454545454545455,True
CLIP-ViT-B16,Age,Consolidation,0.021545269340495166,0.006404179852051819,0.05917562282188303,0.453,3,0.2521941044087995,0.1365763887910839,0.11561771561771564,0.5,0.6413258426966293,False
CLIP-ViT-B16,Age,Edema,0.03586450652290751,0.01803719879438738,0.058243622605323585,0.006,3,0.14030577079808637,0.04023632913575981,0.10006944166232656,0.55,0.02438709677419355,True
CLIP-ViT-B16,Age,Enlarged Cardiomediastinum,0.05593798449612386,0.022951850630797667,0.11465416927664819,0.078,3,0.45712404291549075,0.23360983102918587,0.22351421188630488,0.5,0.17775000000000002,False
CLIP-ViT-B16,Age,Pleural Effusion,0.039146163627612696,0.022840520670786353,0.05808380411527851,0.001,3,0.3109177641943594,0.11420209417173921,0.1967156700226202,0.5,0.0063,True
CLIP-ViT-B16,Age,Pneumonia,0.026013024768695936,0.006938986736448657,0.059886465804559676,0.258,3,0.3748678725848193,0.17548091778270203,0.19938695480211727,0.5,0.4221818181818182,False
CLIP-ViT-B16,Age,Pneumothorax,0.04671315807245813,0.019619458877895114,0.08796197492752303,0.039,3,0.15086991585286513,0.06851086647951299,0.08235904937335214,0.5,0.11168181818181817,False
CLIP-ViT-B16,BMI,Cardiomegaly,0.0053106577364450125,0.0039067875830144545,0.04193797185574523,0.924,3,0.2983208353481997,0.15425158448542398,0.14406925086277572,0.55,0.9465365853658537,False
CLIP-ViT-B16,BMI,Consolidation,0.0071689408084666395,0.004921483180728694,0.058563502106335014,0.932,3,0.16715502614502292,0.06849667002628401,0.09865835611873891,0.5,0.9470322580645162,False
CLIP-ViT-B16,BMI,Edema,0.0243221533709983,0.010108222525299955,0.047379147916256484,0.088,3,0.12747672049997627,0.049260042283298056,0.07821667821667821,0.5,0.19334482758620689,False
CLIP-ViT-B16,BMI,Enlarged Cardiomediastinum,0.018598851437969133,0.008033191235537614,0.08400750492761914,0.78,3,0.3277064874764461,0.13381492948056417,0.19389155799588192,0.5,0.8697345132743363,False
CLIP-ViT-B16,BMI,Pleural Effusion,0.022498322519599934,0.007098314547790008,0.04196672172941052,0.074,3,0.06806001054474087,0.05711320847951773,0.010946802065223138,0.5,0.1759245283018868,False
CLIP-ViT-B16,BMI,Pneumonia,0.04794257736154728,0.019788262168813544,0.08550408813392457,0.033,3,0.17365867477756836,0.12548369515850666,0.0481749796190617,0.5,0.099,False
CLIP-ViT-B16,BMI,Pneumothorax,0.06748151286885562,0.03916132557825503,0.11281732719578776,0.004,3,0.8111724182780464,0.46595017793594307,0.34522224034210336,0.5,0.018666666666666668,True
ConvNeXtV2-Base,Gender,Cardiomegaly,0.004357031758871699,0.00036720968372403823,0.02337412381319386,0.652,2,0.07667995116161719,0.03325603308248637,0.04342391807913082,0.5,0.789923076923077,False
ConvNeXtV2-Base,Gender,Consolidation,0.01863423168455658,0.0011556283086269457,0.044916562750382145,0.147,2,0.07452493675820238,0.00807556691900202,0.06644936983920036,0.45000000000000007,0.2849538461538461,False
ConvNeXtV2-Base,Gender,Edema,0.0007652487291049948,0.00021668338913632127,0.01593191667623754,0.9,2,0.06011584260073105,0.02744150947743762,0.03267433312329343,0.55,0.9465365853658537,False
ConvNeXtV2-Base,Gender,Enlarged Cardiomediastinum,0.01140418159844725,0.0010807924009411537,0.052605948152080015,0.561,2,0.011167422941030736,0.0008700628313829117,0.010297360109647824,0.45000000000000007,0.7212857142857143,False
ConvNeXtV2-Base,Gender,Pleural Effusion,0.02407170509844836,0.011163974926785059,0.03662218365241827,0.0,2,0.05544901802965568,0.04899600433262785,0.006453013697027832,0.55,0.0,True
ConvNeXtV2-Base,Gender,Pneumonia,0.005623438105478495,0.0005345620336713243,0.03361419573690546,0.644,2,0.09454858700846874,0.0688061108611343,0.025742476147334437,0.55,0.7878058252427185,False
ConvNeXtV2-Base,Gender,Pneumothorax,0.04565904940813281,0.017350952609809466,0.07193893128557988,0.004,2,0.09487275406525869,0.03902945230437738,0.055843301760881314,0.5,0.018666666666666668,True
ConvNeXtV2-Base,Age,Cardiomegaly,0.04832397231982499,0.02537800913882957,0.07628680842229187,0.002,3,0.4147233743808292,0.15942462454766637,0.2552987498331628,0.5,0.011454545454545455,True
ConvNeXtV2-Base,Age,Consolidation,0.005137788327931103,0.004028897732145927,0.044834481366426863,0.945,3,0.19374973387479896,0.08069612082118593,0.11305361305361303,0.45000000000000007,0.95256,False
ConvNeXtV2-Base,Age,Edema,0.03210259062258336,0.01652801250159015,0.05183345172769143,0.008,3,0.20886196958432857,0.08999177016847792,0.11887019941585064,0.55,0.030545454545454546,True
ConvNeXtV2-Base,Age,Enlarged Cardiomediastinum,0.072084278645419,0.035845371627877466,0.12564409378212532,0.011,3,0.6625278181017116,0.28644137224782384,0.37608644585388773,0.45000000000000007,0.04076470588235294,True
ConvNeXtV2-Base,Age,Pleural Effusion,0.025556841698688104,0.00962250025875602,0.043372690608283186,0.012,3,0.32685226758259994,0.15132316982908833,0.1755290977535116,0.55,0.042,True
ConvNeXtV2-Base,Age,Pneumonia,0.02000966035443308,0.006540423084920187,0.05428969009949378,0.439,3,0.28881950747611895,0.13964272156648105,0.1491767859096379,0.55,0.6357272727272728,False
ConvNeXtV2-Base,Age,Pneumothorax,0.054343385209531525,0.018184752823706067,0.08958136293746116,0.006,3,0.15697146398404738,0.0911101143626063,0.06586134962144108,0.5,0.02438709677419355,True
ConvNeXtV2-Base,BMI,Cardiomegaly,0.020599650568870254,0.005722706266188042,0.048853335315868274,0.249,3,0.25562351425011187,0.12912755960383404,0.12649595464627783,0.5,0.41831999999999997,False
ConvNeXtV2-Base,BMI,Consolidation,0.02023661371413743,0.006010584370377962,0.06648750946072102,0.528,3,0.16244683302516336,0.06711728865194211,0.09532954437322125,0.45000000000000007,0.7131340206185568,False
ConvNeXtV2-Base,BMI,Edema,0.01532723885421039,0.004060081267133038,0.03602087836301941,0.3,3,0.09397480333385039,0.0419920513510984,0.051982751982751985,0.5,0.4725,False
ConvNeXtV2-Base,BMI,Enlarged Cardiomediastinum,0.023666279577386318,0.007981220016308598,0.08801336275602714,0.686,3,0.285353744623715,0.09821121431028557,0.18714253031342942,0.45000000000000007,0.8073333333333332,False
ConvNeXtV2-Base,BMI,Pleural Effusion,0.015583813663165191,0.004088583790759476,0.03387471935071942,0.185,3,0.062457220377381495,0.046629532075268654,0.01582768830211284,0.5,0.34650000000000003,False
ConvNeXtV2-Base,BMI,Pneumonia,0.04116899872527713,0.014664611238113807,0.07787507062807072,0.057,3,0.19088350292781422,0.12247025161231728,0.06841325131549694,0.5,0.15548936170212768,False
ConvNeXtV2-Base,BMI,Pneumothorax,0.07986032450031044,0.05207439048664976,0.1221554045287277,0.0,3,0.7197262229597852,0.43122657176749707,0.28849965119228815,0.5,0.0,True
