model,disease,delta,ci_lo,ci_hi,p_value,significant
ResNet50-ImageNet,Atelectasis,0.005029039787222356,-0.0020044005177929374,0.012071927076078095,0.17,False
ResNet50-ImageNet,Cardiomegaly,0.022756230959863455,0.01806614346063466,0.027268491019180753,0.0,True
ResNet50-ImageNet,Consolidation,0.005359267677708668,0.002572575825732524,0.008335639210884286,0.0,True
ResNet50-ImageNet,Edema,0.0032449595817126697,0.0015767625968231807,0.004758082272482546,0.0,True
ResNet50-ImageNet,Enlarged Cardiomediastinum,0.0054207952479709,0.0008869541550345901,0.010202524573428661,0.028,True
ResNet50-ImageNet,Lung Opacity,-0.00267716283631092,-0.007692568373010153,0.002304770931777568,0.3,False
ResNet50-ImageNet,Pleural Effusion,0.003622625783938349,0.002095354552874038,0.005097522037344334,0.0,True
ResNet50-ImageNet,Pneumonia,0.00236798008595962,-0.00018657308427361602,0.005205327322161712,0.078,False
ResNet50-ImageNet,Pneumothorax,0.0231895085039594,0.0174008513850293,0.028982307058645657,0.0,True
ResNet50-ImageNet,Support Devices,0.002600135991476016,-0.002902521771491559,0.007672406329188035,0.388,False
DINOv2-base,Atelectasis,0.0018590891820009503,-0.0038408064318775836,0.007973744528924782,0.566,False
DINOv2-base,Cardiomegaly,0.017423864902481156,0.013913600816293928,0.021259052082103914,0.0,True
DINOv2-base,Consolidation,0.0010989802635663626,-0.000629568981698966,0.003005650113073429,0.29,False
DINOv2-base,Edema,0.0012118241954683917,-0.00028203698134822983,0.0025040178508978104,0.084,False
DINOv2-base,Enlarged Cardiomediastinum,0.002437463194817746,-0.0015092894183212629,0.0065497527279463836,0.242,False
DINOv2-base,Lung Opacity,-0.0012570353472903806,-0.005247949340073894,0.0026271159872485396,0.536,False
DINOv2-base,Pleural Effusion,7.946232437605616e-05,-0.0009992302126330091,0.001182890873176262,0.912,False
DINOv2-base,Pneumonia,0.0016040633808314109,-0.00033902152060973295,0.0036272409833276393,0.1,False
DINOv2-base,Pneumothorax,0.01714320892832566,0.01221289871405618,0.02273845910257969,0.0,True
DINOv2-base,Support Devices,-0.003197201659937088,-0.007613380644649446,0.0008730193721024033,0.15,False
XRV-DenseNet-nih,Atelectasis,0.0020367053260719192,-0.010326282620877274,0.014466081644473699,0.712,False
XRV-DenseNet-nih,Cardiomegaly,0.01915396090363619,0.013993231391183941,0.02460672828210037,0.0,True
XRV-DenseNet-nih,Consolidation,0.006782178832706043,0.0013478304368415089,0.011672594455416747,0.016,True
XRV-DenseNet-nih,Edema,0.004226704740482368,0.0012209510133238707,0.007102523208892137,0.004,True
XRV-DenseNet-nih,Enlarged Cardiomediastinum,-4.915892157608681e-05,-0.0059681510365591686,0.0066263381338676226,1.0,False
XRV-DenseNet-nih,Lung Opacity,0.003213208331556694,-0.004358239800184087,0.010589668048695218,0.392,False
XRV-DenseNet-nih,Pleural Effusion,0.0021610850795868997,-0.0007608423898919929,0.00526321056402379,0.17,False
XRV-DenseNet-nih,Pneumonia,0.0024449608062451222,-0.0023935223983383184,0.0071841392836526794,0.306,False
XRV-DenseNet-nih,Pneumothorax,0.011656454948031802,0.0003805460383661057,0.022936477927516397,0.044,True
XRV-DenseNet-nih,Support Devices,0.010637828061911159,-0.0010003582957146503,0.022406768120361242,0.08,False
BiomedCLIP,Atelectasis,-0.0011489261611390411,-0.007215416735443708,0.005140469317527211,0.722,False
BiomedCLIP,Cardiomegaly,0.012627797951531239,0.009583093850733174,0.01574959945360471,0.0,True
BiomedCLIP,Consolidation,0.001437319124094949,-0.00015765176922137006,0.0031498785641509673,0.098,False
BiomedCLIP,Edema,0.003228763054106798,0.001909005719233109,0.004545107799414863,0.0,True
BiomedCLIP,Enlarged Cardiomediastinum,0.00424405356274149,0.0007042248914509084,0.007895123279506467,0.022,True
BiomedCLIP,Lung Opacity,0.0026583752611606393,-0.00026972945497165385,0.005370402656822801,0.084,False
BiomedCLIP,Pleural Effusion,0.0023129552603077252,0.0011585576534332012,0.003456521304474247,0.0,True
BiomedCLIP,Pneumonia,0.0013880207142240586,-0.00015475387022216564,0.0028565724884104106,0.074,False
BiomedCLIP,Pneumothorax,0.015263849041482702,0.00876267450650676,0.02201336948945179,0.0,True
BiomedCLIP,Support Devices,-0.0001995184219381052,-0.004725634335210782,0.004498310691350288,0.988,False
CLIP-ViT-B16,Atelectasis,0.006902603629520998,-0.0020846089397340488,0.01561262057712319,0.154,False
CLIP-ViT-B16,Cardiomegaly,0.031341759345629994,0.025482803788182178,0.03680112490746059,0.0,True
CLIP-ViT-B16,Consolidation,0.004279663648445453,0.0011906122951108183,0.0073946404655381515,0.002,True
CLIP-ViT-B16,Edema,0.004404513165362167,0.0019662702923413794,0.006918000738793861,0.0,True
CLIP-ViT-B16,Enlarged Cardiomediastinum,0.004095552653813672,-0.0017710480834171587,0.009965900123893257,0.208,False
CLIP-ViT-B16,Lung Opacity,-0.0028218671385322747,-0.008111054270697738,0.002430233439970691,0.29,False
CLIP-ViT-B16,Pleural Effusion,0.00497735387757503,0.00284012941564478,0.00721099803379493,0.0,True
CLIP-ViT-B16,Pneumonia,0.003308322972987332,0.0004683834734462604,0.005977488964013671,0.024,True
CLIP-ViT-B16,Pneumothorax,0.02291994235615935,0.01627598053412036,0.030018457318762324,0.0,True
CLIP-ViT-B16,Support Devices,0.005679221343651841,0.000701173808561322,0.010905097385804143,0.028,True
ConvNeXtV2-Base,Atelectasis,0.00725662969597185,0.00021677685578597958,0.015164796960182155,0.044,True
ConvNeXtV2-Base,Cardiomegaly,0.016473737798580856,0.012438338354366313,0.020581493048639325,0.0,True
ConvNeXtV2-Base,Consolidation,0.002817006371800157,0.00022351069045590017,0.0053243315684303565,0.032,True
ConvNeXtV2-Base,Edema,0.0024780392754605307,0.0009374312261309469,0.00407168130749865,0.0,True
ConvNeXtV2-Base,Enlarged Cardiomediastinum,0.004351588703689346,-0.0004165026905544981,0.009150417905184624,0.072,False
ConvNeXtV2-Base,Lung Opacity,0.0023008783524496312,-0.0023354729190647678,0.006601256032681026,0.318,False
ConvNeXtV2-Base,Pleural Effusion,0.0008769016662627527,-0.0006357297693673932,0.002290484825191168,0.23,False
ConvNeXtV2-Base,Pneumonia,0.0028931006332632014,0.0004072244439306179,0.005404128134740597,0.018,True
ConvNeXtV2-Base,Pneumothorax,0.013635761668136182,0.008136958030485154,0.01896885909802223,0.0,True
ConvNeXtV2-Base,Support Devices,0.000656737185957823,-0.004808076572885997,0.005939188650419746,0.786,False
